"query","search interest","increase percent"
"kumon",100,"-2%"
"kumon ingles",3,"8%"
"ingles kumon",3,"8%"
"valor kumon",3,"-9%"
"kumon valor",3,"-9%"
"curso kumon",3,"10%"
"kumon curso",3,"9%"
"kumom",3,"3%"
"kumon matemática",3,"-4%"
"escola kumon",2,"-4%"
"kumon matematica",2,"2%"
"kumon escola",2,"-5%"
"metodo kumon",2,"-10%"
"o que é kumon",2,"-2%"
"kumon o que é",2,"-2%"
"preço kumon",2,"-20%"
"kumon preço",2,"-20%"
"mensalidade kumon",2,"-20%"
"kumon brasil",1,"10%"
"kumon online",1,"-7%"
"kumon portugues",1,"10%"
"kumon português",1,"-1%"
"kumon japones",1,"30%"
"método kumon",1,"20%"
"kumon connect",1,"-5%"
"o que e kumon",1,"30%"
"portal do orientador kumon",1,"-10%"
"kumon é bom",1,"20%"
"kumin",1,"30%"
"franquia kumon",1,"-20%"
"kumon franquia",1,"-20%"
"kumon perto de mim",1,"60%"
"kumon são paulo",1,"2%"
"material kumon",1,"1%"
"kumon curitiba",0,"-5%"
"kumon logo",0,"20%"
"kumon campinas",0,"-20%"
"kumon valores",0,"-10%"
"logo kumon",0,"20%"
"kumon app",0,"8%"
"kumon login",0,"30%"
"kumon significado",0,"-10%"
"kumon preco",0,"50%"
"kumon manaus",0,"50%"
"kumon é uma farsa",0,"-20%"
"reforço escolar",0,"7%"
"wizard",0,"8%"
"kumo",0,"-20%"
"kumon londrina",0,"40%"
"kumon fortaleza",0,"-20%"
