"query","search interest","increase percent"
"khan",100,"-6%"
"khan academy",99,"-2%"
"sala do futuro",3,"500%"
"quizizz",3,"60%"
"classroom",3,"30%"
"khan academy login",2,"6%"
"script",1,"170%"
"khan academy script",1,"180%"
"script khan academy",1,"180%"
"kan",1,"40%"
"khan academy brasil",1,"30%"
"redação paraná",1,"70%"
"kan academy",1,"20%"
"inglês paraná",1,"80%"
"khan academy entrar",1,"-20%"
"leia",1,"60%"
"alura",1,"50%"
"quizz",1,"80%"
"leia parana",0,"70%"
"doritos",0,"1.100%"
"cmsp",0,"-90%"
"khan hack",0,"-30%"
"doritos khan academy",0,"1.050%"
"script sala do futuro",0,"3.150%"
"khanacademy",0,"10%"
"google classroom",0,"10%"
"quizziz",0,"70%"
"khan academy matemática",0,"-10%"
"khan academy hack",0,"-40%"
"classroom login",0,"50%"
"solucionador matemático",0,"500%"
"plataformas educacionais",0,"110%"
"kahn",0,"10%"
"khan academi",0,"20%"
"khan acdemy",0,"70%"
"khan academy sat",0,"60%"
"matific",0,"20%"
"khan academy math",0,"60%"
"scratch",0,"-30%"
"unblocked games",0,"600%"
"kham academy",0,"10%"
"kh",0,"40%"
"khan academy kids",0,"140%"
"rco",0,"50%"
"leia paraná",0,"70%"
"khan destroyer",0,"-60%"
"classrom",0,"190%"
"ingles parana",0,"140%"
"redação parana",0,"80%"
"can academy",0,"70%"
