"Time","Khan Academy","Kumon","kumon connect","memorizai","TutorMundi","ensina.ai","supertutor ia"
"2025-04-06",78,11,0,0,0,0,0
"2025-04-13",59,10,0,0,0,0,0
"2025-04-20",69,10,0,0,0,0,0
"2025-04-27",55,10,0,0,0,0,0
"2025-05-04",74,9,0,0,0,0,0
"2025-05-11",89,10,0,0,0,0,0
"2025-05-18",89,11,0,0,0,0,0
"2025-05-25",100,10,0,0,0,0,0
"2025-06-01",86,11,0,0,0,0,0
"2025-06-08",94,10,0,0,0,0,0
"2025-06-15",68,10,0,0,0,0,0
"2025-06-22",75,9,0,0,0,0,0
"2025-06-29",69,9,0,0,0,0,0
"2025-07-06",35,9,0,0,0,0,0
"2025-07-13",12,9,0,0,0,0,0
"2025-07-20",11,9,0,0,0,0,0
"2025-07-27",60,10,0,0,0,0,0
"2025-08-03",72,12,0,0,0,0,0
"2025-08-10",70,12,0,0,0,0,0
"2025-08-17",72,12,0,0,0,0,0
"2025-08-24",75,11,0,0,0,0,0
"2025-08-31",84,12,0,0,0,0,0
"2025-09-07",74,11,0,0,0,0,0
"2025-09-14",71,11,0,0,0,0,0
"2025-09-21",72,10,0,0,0,0,0
"2025-09-28",74,10,0,0,0,0,0
"2025-10-05",66,9,0,0,0,0,0
"2025-10-12",51,10,0,0,0,0,0
"2025-10-19",63,10,0,0,0,0,0
"2025-10-26",61,9,0,0,0,0,0
"2025-11-02",62,9,0,0,0,0,0
"2025-11-09",61,9,0,0,0,0,0
"2025-11-16",33,8,0,0,0,0,0
"2025-11-23",38,8,0,0,0,0,0
"2025-11-30",22,9,0,0,0,0,0
"2025-12-07",10,10,0,0,0,0,0
"2025-12-14",6,13,0,0,0,0,0
"2025-12-21",3,5,0,0,0,0,0
"2025-12-28",3,6,0,0,0,0,0
"2026-01-04",4,9,0,0,0,0,0
"2026-01-11",5,10,0,0,0,0,0
"2026-01-18",5,13,0,0,0,0,0
"2026-01-25",7,13,0,0,0,0,0
"2026-02-01",8,13,0,0,0,0,0
"2026-02-08",13,12,0,0,0,0,0
"2026-02-15",12,11,0,0,0,0,0
"2026-02-22",26,13,0,0,0,0,0
"2026-03-01",33,11,0,0,0,0,0
"2026-03-08",39,11,0,0,0,0,0
"2026-03-15",36,12,0,0,0,0,0
"2026-03-22",34,12,0,0,0,0,0
"2026-03-29",26,13,0,0,0,0,0
"2026-04-05",27,11,0,0,0,0,0
